"site","treatment","sample_name","timepoint","rep","vial_name","CO2_ppm","CH4_ppm","CH4_ppm_corrected","CO2_ppm_corrected","Temp_C","AFDM_g","CH4_avg","CO2_avg","AFDM_avg","CH4_production","CO2_production","AFDM_corrected_CH4_production","AFDM_corrected_CO2.production","period","spc_us_cm","cond","temp_C"
"TO","T1","TO-T1","3","c","TO-T1-3c",2936.9046,8.661,5.3007,2283.6371,NA,NA,"","","",-0.3499,-10.9404,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","3","d","TO-T1-3d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",443.6,NA,NA
"TO","T2","TO-T2","3","a","TO-T2-3a",3905.6876,70.7713,67.4109,3252.4201,NA,NA,"58.932","3084.606","#DIV/0!",-1.0086,4.4714,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","3","b","TO-T2-3b",3319.5054,60.0215,56.6611,2666.2379,NA,NA,"","","",-1.1579,-3.67,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","3","c","TO-T2-3c",3134.4552,62.6505,59.2902,2481.1877,NA,NA,"","","",-1.1214,-6.2402,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","3","d","TO-T2-3d",4591.846,55.7262,52.3659,3938.5785,NA,NA,"","","",NA,NA,"","","winter",1260,NA,NA
"TO","T3","TO-T3","3","a","TO-T3-3a",6820.0176,1291.7727,1288.4123,6166.7501,NA,NA,"742.5367","7082.6584","#DIV/0!",-6.7138,9.8538,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","3","b","TO-T3-3b",7598.8046,795.2666,791.9063,6945.5371,NA,NA,"","","",-13.6098,20.6702,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","3","c","TO-T3-3c",9896.0708,158.4187,155.0584,9242.8033,NA,NA,"","","",-22.4549,52.5767,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","3","d","TO-T3-3d",6628.8106,738.13,734.7697,5975.5431,NA,NA,"","","",NA,NA,"","","winter",2318,NA,NA
"TO","T1","TO-T1","7","a","TO-T1-7a",NA,NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!",NA,NA,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","7","b","TO-T1-7b",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","7","c","TO-T1-7c",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","7","d","TO-T1-7d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",443.6,NA,NA
"TO","T2","TO-T2","7","a","TO-T2-7a",NA,NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!",NA,NA,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","7","b","TO-T2-7b",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","7","c","TO-T2-7c",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","7","d","TO-T2-7d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",1260,NA,NA
"TO","T3","TO-T3","7","a","TO-T3-7a",NA,NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!",NA,NA,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","7","b","TO-T3-7b",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","7","c","TO-T3-7c",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","7","d","TO-T3-7d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",2318,NA,NA
